v210_eq,v210_var,v210_var_description,v210_pg,v210_sec,v210_sec_title,v200_eq
62,"(\bar\alpha,\bar\beta)","aggregate contest encryption",37,3.3.8,"Proof of Satisfying the Contest Selection Limit",
62,\xi,"aggregate nonce",37,3.3.8,"Proof of Satisfying the Contest Selection Limit",
62,c,"Contest selection limit NIZK proof",37,3.3.8,"Proof of Satisfying the Contest Selection Limit",
63,D_\Lambda,"contest data field as a concatenation of blocks ",40,3.3.10,"Contest Data",
64,\xi,"pseudo-random nonce",40,3.3.10,"Contest Data",
65,h,"secret key",40,3.3.10,"Contest Data",
66,k_i,"encryption keys k_1 .. ",40,3.3.10,"Contest Data",
67,C_0,"ciphertext encrypting $D_\Lambda$",41,3.3.10,"Contest Data",
68,C_1,"ciphertext encrypting $D_\Lambda$",41,3.3.10,"Contest Data",
69,c,"proof of knowledge of the nonce ξ",41,3.3.10,"Contest Data",
70,"χ_l","contest hash value",41,3.4.1,"Contest Hash",
71,H_C,"ballot confirmation code",42,3.4.2,"Confirmation Code",58
72,H_DI,"device information hash",42,3.4.3,"Voting Device Information Hash",
73,B_C,"No chaining, chaining field",42,3.4.4a,"Ballot Chaining - No chaining",
74,H_0,"Simple chaining, chaining field",43,3.4.4b,"Ballot Chaining - Simple chaining",
75,"B_C,0","Simple chaining, hash input",43,3.4.4b,"Ballot Chaining - Simple chaining",
76,"B_C,j","Simple chaining, chaining field",43,3.4.4b,"Ballot Chaining - Simple chaining",
77,\overline{\HH},"Simple chaining, closing value",43,3.4.4b,"Ballot Chaining - Simple chaining",
78,\overline\B_{C},"Simple chaining, hash input",43,3.4.4b,"Ballot Chaining - Simple chaining",
79,"(A, B)","published contest option encrypted tally",44,3.5,"Ballot Aggregation",
80,"(A, B)","published contest option encrypted tally (weighted)",45,3.5,"Ballot Aggregation",
81,M,"verifiable decryption intermediate value",46,3.6.2,"Verifiable Decryption Strategy",
82,T,"verifiable decryption intermediate value",46,3.6.2,"Verifiable Decryption Strategy",
82,t,"contest option tally",46,3.6.2,"Verifiable Decryption Strategy",
83,z_i,"$G_i$'s share of the implicit secret key $s",46,3.6.3,"Partial Decryption by Available Guardians",
84,M_i,"partial decryption for available guardian $G_i$",46,3.6.3,"Partial Decryption by Available Guardians",
85,w_i,"Lagrange coefficients correspoinding to available guardians",47,3.6.4,"Combination of Partial Decryptions",
86,M,,47,3.6.4,"Combination of Partial Decryptions",
87,"(a_i,b_i)","NIZK proof of M",47,3.6.5,"Proof of Correctness",69
88,d_i,"NIZK proof of M",47,3.6.5,"Proof of Correctness",
89,a,"NIZK proof of M",48,3.6.5,"Proof of Correctness",70
90,c,"NIZK proof of M",48,3.6.5,"Proof of Correctness",71
91,c_i,"NIZK proof of M",48,3.6.5,"Proof of Correctness",72
92,v_i,"NIZK proof of M",48,3.6.5,"Proof of Correctness",73
93,v,"NIZK proof of M",48,3.6.5,"Proof of Correctness",
94,"a'_i","NIZK proof of M",48,3.6.5,"Proof of Correctness",74
95,"b'_i","NIZK proof of M",48,3.6.5,"Proof of Correctness",75
96,m_i,"Contest data, partial decryption for guardian $G_i$",50,3.6.6,"Decryption of Contest Data (Optional)",
97,"β","Contest data, combined partial decryptions",50,3.6.6,"Decryption of Contest Data (Optional)",
98,"(a_i, b_i)","Contest data, partial decryption, NIZK proof",50,3.6.6,"Decryption of Contest Data (Optional)",
99,d_i,"Contest data, partial decryption, NIZK proof",50,3.6.6,"Decryption of Contest Data (Optional)",
100,"a, b","Contest data, partial decryption, NIZK proof",50,3.6.6,"Decryption of Contest Data (Optional)",
101,c,"Contest data, partial decryption, NIZK proof",50,3.6.6,"Decryption of Contest Data (Optional)",
102,v_i,"Contest data, partial decryption, NIZK proof",50,3.6.6,"Decryption of Contest Data (Optional)",
103,v,"Contest data, partial decryption, NIZK proof",50,3.6.6,"Decryption of Contest Data (Optional)",
104,k_i,"decryption key",51,3.6.6,"Decryption of Contest Data (Optional)",
105,C_1,"data blocks",51,3.6.6,"Decryption of Contest Data (Optional)",
106,D,"byte array with overvote, undervote, null vote data, and write-in text fields",51,3.6.6,"Decryption of Contest Data (Optional)",
107,m_i,"Partial decryption of ballot nonces",52,3.6.7,"Decryption of Challenged Ballots",
108,"β_B","Partial decryption of ballot nonces",52,3.6.7,"Decryption of Challenged Ballots",
109,"K^σ","Decryption with encryption nonces",52,3.6.7,"Decryption of Challenged Ballots",
110,"β","Decryption with encryption nonces",52,3.6.7,"Decryption of Challenged Ballots",
111,D,"Decryption with encryption nonces",52,3.6.7,"Decryption of Challenged Ballots",
112,"Ψ_{i,m}","Pre-encrypted ballot, contest option vector",57,4.1,"Format of Pre-Encrypted Ballots",
113,"ψ_i","Pre-encrypted ballot, contest selection hash",58,4.1.1,"Selection Hash",
114,"ψ_{m + l}","Pre-encrypted ballot, contest selection hash",58,4.1.1,"Selection Hash",
115,"χ_l","Pre-encrypted ballot, contest hash",58,4.1.2,"Contest Hash",
116,H_C,"Pre-encrypted ballot, confirmation code",58,4.1.3,"Confirmation Code",
117,H_0,"Pre-encrypted ballot, chaining field",59,4.1.4,"Ballot Chaining",
118,\overline{\HH},"Pre-encrypted ballot, closing value",59,4.1.4,"Ballot Chaining",
119,\HH_{DI},"Pre-encrypted ballot, device information hash",59,4.1.4,"Ballot Chaining",
120,\overline\B_{C},"Pre-encrypted ballot, hash input",59,4.1.4,"Ballot Chaining",
121,"ξ_{i,j,k}","nonce for context i option j",61,4.2.1,"Deterministic Nonce Derivation",
122,a,"definition of big endian",69,5.1,"Input Data Representation",
123,"b(a, m)","definition of big endian",69,5.1,"Input Data Representation",
124,"b(a, l_p)","definition of big endian",70,5.1.1,"Integers Modulo the Large Prime p",
125,b_i,"definition of big endian",70,5.1.1,"Integers Modulo the Large Prime p",
126,a,"definition of big endian",70,5.1.1,"Integers Modulo the Large Prime p",
127,"b(a, 32)","definition of big endian",70,5.1.2,"Integers Modulo the Small Prime q",
128,b_i,"definition of big endian",70,5.1.2,"Integers Modulo the Small Prime q",
129,a,"definition of big endian",70,5.1.2,"Integers Modulo the Small Prime q",
130,H,HMAC-SHA-256,70,5.2,"Hash Function",
131,a,"definition of big endian",70,5.4,"Hash Function Outputst and Hashing to Z_q",
132,H_q,"HMAC-SHA-256 modulo small prime q",70,5.2,"Hash Function",
