section,xtext
S3.3.5.a,"This section generates no unique or specific requirements"
S3.3.5.c,"This section generates no unique or specific requirements"
S3.3.6.a,"This section generates no unique or specific requirements"
S3.3.6.b,"This section generates no unique or specific requirements"
S3.3.6.c,"This section generates no unique or specific requirements"
S3.3.6.d,"This section generates no unique or specific requirements"
S3.3.6.e,"This section generates no unique or specific requirements"
S3.3.7.a,"This section generates no unique or specific requirements"
S3.3.7.b,"This section generates no unique or specific requirements"
S3.3.7.f,"This section generates no unique or specific requirements"
S3.3.8.a,"This section generates no unique or specific requirements"
S3.3.9.a,"This section generates no unique or specific requirements"
S3.3.10.a,"This section generates no unique or specific requirements"
S3.3.10.b,"This section generates no unique or specific requirements"
S3.4,"This section generates no unique or specific requirements"
S3.4.4.a,"This section generates no unique or specific requirements"
S3.6.1,"Josh 2025-03-19: The text ""the election administrator populat[ing] the election record with the sets of aggregated ballots and ballots marked to be challenged"" does not introduce a new requirement, this just refers to the process by which (Cast or Challenged) Ballots are added to the Election Record."
S3.6.1,"Josh 2025-03-19: Though EGRS refers to ""populat[ing] the election record with the sets of aggregated ballots"", this simply refers to the set of Ballots in the `Cast` state, i.e., participating in a tally. There is a set of Ballots in the `Challenged` state (""marked to be challenged""), but they are not 'aggregated' and do not participate in any Tally (i.e., eq. 80 pg. 45). So really there is only ever a single ""set of aggregated ballots"" relevant to a specific Tally."
S3.6.1,"Josh 2025-03-19: In theory, there could be a legitimate need to decrypt a provisionally-cast Ballot or other (say by court order), but such functionality is outside the scope of the RI."
S3.6.1,"Josh, Michael: The need for the Guardian's determination that all Ciphertexts are correct prior to decryption to be recorded in the Election Record was removed in EGRS v2.1.0."
S3.6.4.b.n3_6,"This section generates no unique or specific requirements"
S3.6.5.a,"This section generates no unique or specific requirements"
S3.6.5.c.n3_7,"This section generates no unique or specific requirements"
S3.6.5.e,"This section generates no unique or specific requirements"
S3.6.7.a,"This section generates no unique or specific requirements"
S3.7,"Josh 2025-02-25, 2025-03-18: All Administrator Key operations are out of scope for EGRI: xreq S3.7 EGRS enables the Election Administrator to digitally sign the Election Record."
S3.7,"Josh 2025-02-25, 2025-03-18, 2025-03-19: All Administrator Key operations are out of scope for EGRI: EGDS pg 56 ""Election Administrators"" is plural, but a single Election Administrator is referred to everywhere else a procedure is described."
S4.5,"pg. 63 EGRS states that verifiers must verify that ""All short codes shown to voters are correctly computed from selection hashes in the election record"", which implies that all ""short codes shown to voters"" are published in the Election Record."
S4.5,"pg. 63 EGRS states that verifiers must verify that ""All short codes shown to voters are correctly computed from selection hashes in the election record"", which implies that all Selection Hashes are published in the Election Record."
S4.5,"pg. 63 EGRS states that verifiers must verify that ""selection hashes in the election [are] correctly computed from the pre-encryption vectors published in [pg. 64] the election record."", which implies that all pre-encryption vectors are published in the Election Record."
S6.a,"This section generates no unique or specific requirements"
S6.1.a,"This section generates no unique or specific requirements"
S6.2,"This section generates no unique or specific requirements"
S7,"DEFERRED xreq S7 EGRI supports operation in an ""RLA Mode""."
S7,"DEFERRED xreq S7 EGRI in RLA Mode allows to encrypt the Ballot Nonce of each ballot with a Simple Administrative Key rather than the “heavyweight” Ballot Data Encryption Public Key."
S7,"DEFERRED xreq S7 EGRI in RLA Mode the Simple Administrative Key may be symmetric."
