section,xtext,status_code,status_note,ordinal,xtext
S2.b,"EGRI enables, supports, or facilitates the initiation of a 'Key Ceremony Irregularity Investigation' subsequent to a Guardian complaint of irregularity.","",,,
S2.b,"Sufficient data, documentation, tools, and/or other resources are available to enable a Key Ceremony Irregularity Investigation to distinguish between an 'Actively Misbehaving Guardian' and any other type of error.","",,,
S2.b,"Sufficient data, documentation, tools, and/or other resources are available to enable a Key Ceremony Irregularity Investigation to identify an Actively Misbehaving Guardian.","",,,
S2.b,"Sufficient data, documentation, tools, and/or other resources are available to enable a Key Ceremony Irregularity Investigation to effectively troubleshoot errors other than an Actively Misbehaving Guardian.","",,,
S2.b,"Sufficient data, documentation, tools, and/or other resources are available to enable the Key Ceremony Irregularity Investigation to effectively troubleshoot multiple simultaneous errors, potentially of different types.","",,,
S2.b,"EGRI allows to remove a Guardian subsequent to a Key Ceremony Irregularity Investigation which has identified it as an 'Actively Misbehaving Guardian'.","",,,
S2.b,"EGRI allows to restart the Key Generation Ceremony protocol from scratch subsequent to an Investigation which has identified and removed an Actively Misbehaving Guardian.","",,,
S2.b,"TODO? what if its another type of error? Can you just restart whenever? Any of this published?","",,,
S2.b,"TODO? EGRI enables a Guardian to publish the ciphertext of any encrypted secret key shares that it sent.","",,,
S2.b,"TODO? EGRI enables a Guardian to publish the ciphertext of any encrypted secret key shares that it received.","",,,
S2.b,"TODO? EGRI enables a Guardian to publish the plaintext corresponding to the ciphertext of any encrypted secret key shares that it sent? Only subsequent to the initiation of Key Ceremony Irregularity Investigation?","",,,
S2.b,"TODO? EGRI enables a Guardian to publish the plaintext decrypted from the ciphertext of any encrypted shares that it received? Only subsequent to the initiation of Key Ceremony Irregularity Investigation?","",,,
S2.b,"Note: The Guardians and Election Administrator together have a duty to successfully complete key generation and conclude the Key Generation Ceremony.","",,,
S2.c.a[i],"After a voter completes the process of making selections, the election system can make a single call to the EGRI API with the voter selections to encrypt and record the EG Ballot and return a confirmation code for the voter.","",,,
S2.c.a,"Other than the single call to the EGRI API described in (S2.c.a[i]), there is no other point at which an existing election system must interface with EGRI.","",,,
S2.c.a,"An RLA system can make the single call to the EGRI API described in (S2.c.a[i]), but any confirmation code returned may be discarded.","",,,
S2.c.b,"EGRI can accept can accept voter selections in batches directly. This is to support certain vote-by-mail scenarios and RLA.","",,,
S2.c.b,"EGRI records which Ballots have been decrypted ensures that they can never be ""cast"" or participate in any future Tally. Note that this only applies to homomorphically tallied fields and not, say, decrypting the Ciphertext of a non-homomorphically tallied write-in text field.","",,,
S2.c.b,"A decrypted ballot should never be 'Cast'. Josh 2025-03-19: Univeral knowledge of all challenged ballots is not required, just checking whatever local store is available is sufficient.","",,,
S2.c.b,"Implementation Note: After obtaining their confirmation code, voters should have an opportunity to 'challenge' their ballots in order to view the decrypted selections of their EG Ballot to verify that the encryptions were correct. The voter must be informed that the challenged ballot and decrypted selections will eventually be published as part of the public Election Record.","",,,
S2.c.b,"Implementation note: In an RLA, presumably the non-EG ballots were already cast. Some of the resulting EG Ballots may be anonymized, challenged, and decrypted.","",,,
S2.c.c,"EGRI produces EG Ballots that contain encrypted voter selections.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S2.c.c,"EGRI produces EG Ballots that may contain encrypted additional data fields for some or all Contests.","",,,
S2.c.c,"EGRI produces EG Ballots that contain a Ballot Nonce, encrypted to the Joint Ballot Data Encryption Public Key.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S2.c.c,"EGRI records the EG Ballots for later publication as part of the Election Record.","",,,
S2.c.c,"EGRI produces EG Ballots that non-interactive zero-knowledge (NIZK) proofs of their well-formedness.","",,,
S2.c.c,"There can exist no well-formed ballot which is not legitimate, by definition.","",,,
S2.c.c,"EGRI produces EG Ballots with NIZK proofs proving that, for each contest option, no more than the allowed number of votes were recorded. (Option Selection Limit)","",,,
S2.c.c,"EGRI produces EG Ballots with NIZK proofs proving that, for each contest, no more than the total allowed number of votes were recorded. (Contest Selection Limit)","",,,
S2.c.c,"EGRI produces EG Ballots with Contests having additional data fields may contain NIZK proofs similar to those of voter selectable options or other properties.","",,,
S2.c.c,"EGRI allows to combine EG Ballots into an Aggregate Ballot.","",,,
S2.c.c,"EGRI allows to combine EG Ballots into a single Aggregate Ballot.","",,,
S2.c.c,"An Aggregate Ballot formed by combining EG Ballots contains, for every option in every contest, the tally for that option encrypted to the Joint Vote Public Key.","",,,
S2.d,"Each guardian can compute from the previously shared secret key fragments a share of the secret decryption key","",,,
S2.d,"Guardians can independently use their share of the secret decryption key to jointly decrypt the election tallies","",,,
S2.d,"Guardians can independently use their share of the secret decryption key to generate associated verification data","",,,
S2.d,"Only a quorum of guardians is sufficient to complete decryption","",,,
S2.d,"Only a quorum of guardians is sufficient to generate the verification data","",,,
S2.e.a,"An observer can use EGRS, EGRI, and/or accompanying materials to independently  implement an election verifier that can confirm the well-formedness of every EG Ballot.","",,,
S2.e.a,"An observer can use EGRS, EGRI, and/or accompanying materials to independently  implement an election verifier that can confirm the well-formedness the correct aggregation of EG Ballots.","",,,
S2.e.a,"An observer can use EGRS, EGRI, and/or accompanying materials to independently  implement an election verifier that can confirm the accurate decryption of election tallies.","",,,
S2.e.b,"A verifier can be independently implemented which performs the Guardian Key verification steps S6.2.2.verif2 and S6.2.2.verif3 .","",,,
S2.e.b,"A verifier can be independently implemented that fully verifies the integrity of an Election Record without performing either of the Guardian Key verification steps S6.2.2.verif2 and S6.2.2.verif3 .","",,,
S2.e.c,"A verifier can be independently implemented which performs the EG Ballot correctness verification steps S6.2.7.verif13, S6.2.7.verif14, S6.2.8.verif17, S6.2.8.verif18, and S6.2.8.verif19","",,,
S2.e.d,"A verifier can be independently implemented which performs the Election Record verification steps S6.2.1.verif1, S6.2.3.verif4, S6.2.4.verif5, S6.2.4.verif6, S6.2.4.verif7, S6.2.4.verif8, S6.2.5.verif9, S6.2.5.verif10, S6.2.5.verif11, S6.2.6.verif12","",,,
S3.a.a.a,"EGRI enables selecting Fixed Parameters in advance of an election",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.a.a.a,"EGRI enables using the same Fixed Parameters across multiple elections",na,,1,"Not directly applicable to implementation code"
S3.a.a.a,"EGRI supplies a standard set of Fixed Parameters",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.a.a.a,"EGRI enables defining Contests",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.a.a.a,"EGRI enables defining selectable Contest Options",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.a.a.a,"EGRI enables defining Ballot Styles",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.a.a.b,"(ref: S2.b) EGRI enables Guardians to generate individual public-secret key pairs",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S3.a.a.b,"(ref: S2.b) EGRI enables Guardians to exchange shares of secret keys",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S3.a.a.b,"EGRI enables the same set of Guardians to re-use their keys from previous elections (TODO: Don't n, k, p, q, g, etc have to remain the same?)","",,,
S3.a.a.b,"EGRI requires that a complete new set of keys must be generated if even a single guardian is replaced (TODO: How?)","",,,
S3.a.a.b,"EGRI enables Guardians to destroy their secret keys.",nyi,,4,"Not yet implemented"
S3.a.a.b,"Josh 2025-03-18: ""There is a point where the rejection of the keys can happen""","",,,
S3.a.a.c,"[No specific requirement]",na,,1,"Not directly applicable to implementation code"
S3.a.a.d,"(ref: S2.c.c) Guardians can use their secret key shares to jointly produce election tallies together with verifiable artifacts that prove that the tallies are correct.","",,,
S3.a.c.a,"Encryption of votes in ElectionGuard is performed using the DPP vote encryption method of Devillez, Pereira, and Peters (2022)","",,,
S3.a.c.b,"EGRI ensures that P is fixed before the (ref: S.2.b) Key Generation Ceremony. Note that this may be a simple comparison with the standard parameter value.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.a.c.b,"EGRI ensures that Q is fixed before the (ref: S.2.b) Key Generation Ceremony. Note that this may be a simple comparison with the standard parameter value.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.a.c.b,"EGRI ensures that G is fixed before the (ref: S.2.b) Key Generation Ceremony. Note that this may be a simple comparison with the standard parameter value.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.a.c.b,"EGRI verifies that P is prime before any processing. Note that this may be a simple comparison with the standard parameter value.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.a.c.b,"EGRI verifies that Q is prime before any processing. Note that this may be a simple comparison with the standard parameter value.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.a.c.b,"EGRI verifies that Q is is not a divisor of r=(p-1)/q before any processing. Note that this may be a simple comparison with the standard parameter value.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.a.c.b,"EGRI verifies that G is a generator $g$ of the order $q$ subgroup $\Z_p^r$ before any processing. Note that this may be a simple comparison with the standard parameter value.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.a.c.c,"EGRI enables a Guardian to (ref: S.2.b) generate its own Vote or Ballot Data Encryption Secret Key by selecting a random $s\in\Z_q$.","",,,
S3.a.c.c,"EGRI enables a Guardian to (ref: S.2.b) derive its Vote or Ballot Data Encryption Public Key as $K=g^s \bmod p$.","",,,
S3.a.c.c,"EGRI enables a Guardian to (ref: S.2.b) publish its Vote or Ballot Data Encryption Public Key.","",,,
S3.a.c.c,"No entity is ever in possession of a secret key that can be used to decrypt votes","",,,
S3.a.c.d,"Values are encrypted to a Vote or Ballot Data Encryption Public Key by selecting a random nonce $\xi\in\Z_q$ and forming the pair $(\alpha, \beta) = (g^\xi \bmod p, K^m\cdot K^\xi \bmod p) = (g^\xi \bmod p, K^{m+\xi} \bmod p)$ .","",,,
S3.a.c.e,"Ciphertexts encrypted to a Vote or Ballot Data Encryption Public Key can be decrypted using the corresponding Secret Key $s$ as $\beta/\alpha^s\bmod p = K^m \bmod p$ using exhaustive search, a pre-computed table, or Shanks's baby-step giant-step method.","",,,
S3.a.c.e,"The value of $K^m$ can be computed from the encryption nonce $\xi$","",,,
S3.a.c.e,"The value of $m$ can be computed from the encryption nonce $\xi$","",,,
S3.a.c.e,"An encryption of one is used to indicate that an option is selected","",,,
S3.a.c.e,"An encryption of zero is used to indicate that an option is not selected","",,,
S3.a.d,"All the encryptions of a single option across ballots can be multiplied to form an encryption of the sum of the individual values","",,,
S3.a.d,"An encryption of some integer other than `0` or `1` is used for certain voting methods","",,,
S3.a.d,"The product of the encryptions of a single contest option across ballots is an encryption of the tally (S2.c.c)","",,,
S3.a.d,"Every option can be demonstrated to be an encryption of either `0` or `1` (for typical voting methods)","",,,
S3.a.d,"Every option can be demonstrated to be an encryption of some integer other than `0` or `1` (for certain voting methods)","",,,
S3.a.d,"The product of the encrypted options of a single ballot can be used to show that no more options were selected than permitted","",,,
S3.a.d,"When an option can receive multiple or weighted votes, the product of the encrypted options of a single ballot can be used to show that only the permitted number of votes or permitted sum of weights were used","",,,
S3.a.d,"A holder of a nonce $\xi$ can prove to a third party that a pair $(\alpha, \beta)$ is an encryption of $m$ without access to the secret $s$ or revealing the nonce $\xi$","",,,
S3.a.e,"EGRI enables the use of NIZK proofs to demonstrate that keys are properly chosen.","",,,
S3.a.e,"EGRI enables the use of NIZK proofs to demonstrate that ballots are well-formed.","",,,
S3.a.e,"EGRI enables the use of NIZK proofs to demonstrate that decryptions match claimed values.","",,,
S3.a.f.a,"EGRI enables the use of threshold encryption for encryption of ballots and other data.","",,,
S3.a.f.a,"(ref S2.b) Combining individual Guardian (Vote|Ballot Data) Public Keys into a single Joint (Vote|Ballot Data) Public Key.","",,,
S3.a.f.a,"Threshold encryption offers a homomorphic property that allows individual encrypted votes to be combined to form encrypted tallies.","",,,
S3.a.f.b,"Ref S2.b: ""EGRI enables a Guardian to generate its own public-secret (Vote|Ballot Data) Encryption Key pair...""","",,,
S3.a.f.b,"Ref S2.b: ""At the successful completion of the Key Generation Ceremony, EGRI enables the combination of Guardian (Vote|Ballot Data) Encryption Public keys to form the Joint (Vote|Ballot Data) Encryption Public Key.""","",,,
S3.a.f.b,"(=~ S2.a[x]): EGRI uses a Joint Vote Encryption Public Key and a Joint Ballot Data Encryption Public Key formed by the Guardians working together to encrypt individual ballots.","",,,
S3.a.f.c,"EGRI enables a Guardian to compute a verifiable partial decryption of the tally of every Contest Option Field and additional Contest Data Field.","",,,
S3.a.f.c,"EGRI enables a quorum of `k` distinct Guardian (Vote|Ballot Data) Encryption Secret Keys to form full verifiable decryptions of the election tallies by combining the verifiable partial decryptions of the tallies of every Contest Option Field and additional Contest Data Field.","",,,
S3.a.f.d,"(Ref: S2.b) Key Ceremony","",,,
S3.a.f.d,"(Ref: S3.a.f.c) ""EGRI enables a Guardian to compute a verifiable partial decryption of the tally of every Contest Option Field and additional Contest Data Field.""","",,,
S3.a.f.d,"(Ref: S3.a.f.c) ""EGRI enables a quorum of `k` distinct Guardian (Vote|Ballot Data) Encryption Secret Keys to form full verifiable decryptions of the election tallies by combining the verifiable partial decryptions of the tallies of every Contest Option Field and additional Contest Data Field.""","",,,
S3.a.g,"EGRI provides a non-homomorphic encryption method known as ""Hashed ElGamal"" for encrypting data other than votes","",,,
S3.a.g,"EGRI provides a signature method known as ""Signed Hashed ElGamal"" for encrypting data other than votes","",,,
S3.a.g,"EGRI enables a user to generate a Hashed ElGamal (Public|Secret) Key pair for Hashed ElGamal encryption","",,,
S3.a.g,"EGRI enables a user to encrypt data to a Hashed ElGamal Public Key","",,,
S3.a.g,"Any data encrypted to a Hashed ElGamal Public Key cannot be decrypted without the Hashed ElGamal Secret Key","",,,
S3.a.g,"EGRI enables using a Hashed ElGamal Secret Key to decrypt data encrypted to the corresponding Hashed ElGamal Public Key","",,,
S3.a.g,"Hashed ElGamal encryption does not have the data size restrictions imposed by the vote encryption","",,,
S3.a.g,"Hashed ElGamal encryption uses a KDF based on HMAC-SHA-2-256 to generate a key stream XORed with the data","",,,
S3.a.g,"EGRI enables a user to generate a Signing Hashed ElGamal (Public|Secret) Key pair for Signing data encrypted with Hashed ElGamal","",,,
S3.a.g,"EGRI enables using a Signing Hashed ElGamal Secret Key to sign data that has been encrypted with Hashed ElGamal","",,,
S3.a.g,"EGRI enables using a Signing Hashed ElGamal Public Key to verify or refute a signature made with Signed Hashed ElGamal","",,,
S3.a.g,"(Ref: S2.b) ""EGRI enables a Guardian to encrypt to another guardian's Guardian Communication Public Key a share of each of its  own (two, non-Communication) secret keys.""","",,,
S3.a.g,"EGRI allows to encrypt other (non-homomorphically-tallied) Ballot data to the Joint Ballot Data Encryption Public Key","",,,
S3.a.g,"EGRI allows to encrypt voter selection contest write-in Ballot data to the Joint Ballot Data Encryption Public Key","",,,
S3.a.g,"EGRI allows to encrypt other auxiliary data attached to an encrypted Ballot to the Joint Ballot Data Encryption Public Key","",,,
S3.a.g,"EGRI allows to encrypt voter selection contest write-in Ballot data to the Administrative Public Key.","",,,
S3.a.g,"EGRI allows to encrypt other auxiliary data attached to an encrypted Ballot to the Administrative Public Key.","",,,
S3.a.g,"EGRI allows to encrypt other (non-homomorphically-tallied) Ballot data to the Administrative Public Key.","",,,
S3.1,"EGRI uses integer-based encryption","",,,
S3.1,"EGRI does not use elliptic curves","",,,
S3.1,"The encryption scheme used to encrypt votes is defined by primes p and q.","",,,
S3.1,"ref:S3.a.c.b ""EGRI verifies that (P|Q|G) is prime before any processing...""","",,,
S3.1.1.a,"The value of p matches the specific value given in EG DS v2.1.0 S3.1.1","",,,
S3.1.1.a,"The value of q matches the specific value given in EG DS v2.1.0 S3.1.1","",,,
S3.1.1.a,"The value of r matches the specific value given in EG DS v2.1.0 S3.1.1","",,,
S3.1.1.a,"The value of g matches the specific value given in EG DS v2.1.0 S3.1.1","",,,
S3.1.1.b.n3_1,"Nonstandard parameters are outside the scope of these requirements and thus not permitted.","",,,
S3.1.1.b.n3_1,"EGDS must reject any data bearing non-standard parameters.","",,,
S3.1.2,"Varying Parameter n is the number of Guardians","",,,
S3.1.2,"Varying Parameter k is the number of Guardians required to form a quorum for decryption.","",,,
S3.1.2,"EGRI computes H_P from Fixed Parameters p, q, and g, and Varying Parameters n and k as specified in EG DS v2.1.0 eq. 4","",,,
S3.1.3.a,"EGRI accepts an Election Manifest",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.a,"The Election Manifest is a single file",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.a,"The Election Manifest describes the modalities of the election and specifies a wide range of data about it",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.a,"The Election Manifest contains data that makes it unique for each election",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.a,"EGRI rejects any Election Manifest that does not contain data that makes it unique for each election",nfd,"Ref: S3.1.3.a: ""The manifest file must contain data that makes it unique for each election."" QUESTION: How could this possibly be implemented?",2,"Needs further discussion"
S3.1.3.a,"The Election Manifest lists all contests in an election",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.a,"The Election Manifest for each Contest, specifies the Selectable Options (e.g., candiates)",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.a,"The Election Manifest for each Contest, specifies a label unique across all contests in the election",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.a,"EGRI rejects any Election Manifest containing duplicate labels for Contests",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.a,"The Election Manifest for each ContestOption in each Contest, specifies a label unique across all Selectable Options in that contest",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.a,"EGRI rejects any Election Manifest containing duplicate labels for ContestOptions in any Contest",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI accepts ElectionManifest labels composed of printable characters and (internal, non-contiguous) 0x20 space characters",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects ElectionManifest labels that contain line break characters",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects ElectionManifest labels that have leading or trailing whitespace",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects ElectionManifest labels that contain contiguous sequences of whitespace other than a single 0x20 space",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects ElectionManifest labels that contain special characters (Unicode Category Cc, Cf, Zs, Zl, Zp, or Cs)",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects ElectionManifest labels having no printable characters",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects ElectionManifest labels that decode to a Unicode malformed surrogate pair (Unicode Category Cs). See [JSON RFC Errata 7603](https://www.rfc-editor.org/errata/eid7603)",ics,"difficult to test because the Rust std lib rejects malformed UTF-8",50,"Implementation code exists covering a portion of code paths considered substantial"
S3.1.3.b,"EGRI accepts Contest labels composed of printable characters and (internal, non-contiguous) 0x20 space characters",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects Contest labels that contain line break characters",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects Contest labels that have leading or trailing whitespace",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects Contest labels that contain contiguous sequences of whitespace other than a single 0x20 space",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects Contest labels that contain special characters (Unicode Category Cc, Cf, Zs, Zl, Zp, or Cs)",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
